feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
glcm_SumAverage,glcm,original_glcm_SumAverage,410,0.9999991773308105,0.9999988760382231,0.9999988787795904,0.0008678690788999619,0.0004569583439928415,0.008266537402215057,0.00010999672177533376,0.0024469290965353947,0.0,0.9707317073170731,0.9999396909438628,0.00103207279900499,4.434728803326589,0.9879324786783656,discrepant
glcm_SumEntropy,glcm,original_glcm_SumEntropy,410,0.9993101401644899,0.9980723658654409,0.9980770583713108,0.020782452375871417,0.016272374320658978,0.12112119454530235,0.008214372937951294,0.08729719066264462,0.0,0.0,1.009937658501568,0.0007765151299351832,2.0131439657318775,0.4247861210381992,discrepant
glcm_SumSquares,glcm,original_glcm_SumSquares,410,0.9999961695867279,0.9999938636990414,0.9999938786655377,0.00046885679428398686,0.00021836734181643336,0.0072942657031001,0.000573801031485823,0.013163805162970792,0.00975609756097561,0.8634146341463415,1.0012593858037702,-0.00018538201069610844,0.4829215453757747,0.24321893909050724,discrepant
gldm_DependenceEntropy,gldm,original_gldm_DependenceEntropy,410,1.0,1.0000000000000002,1.0,7.359966294954087e-15,7.105427357601002e-15,1.4210854715202004e-14,1.8733802075963633e-15,3.5435505056691853e-15,1.0,1.0,1.0000000000000038,-4.56185658366503e-15,3.8713672927671907,0.43393003457020674,exact
gldm_DependenceNonUniformity,gldm,original_gldm_DependenceNonUniformity,410,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999993,8.421889077535434e-15,35.719596015488705,19.464457614398906,exact
gldm_DependenceNonUniformityNormalized,gldm,original_gldm_DependenceNonUniformityNormalized,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,2.1932002806081864e-17,0.16150236493615597,0.034222216258763045,exact
gldm_DependenceVariance,gldm,original_gldm_DependenceVariance,410,0.9999999999999998,1.0,1.0,6.033114387475241e-16,8.881784197001252e-16,5.329070518200751e-15,1.3939416605423955e-16,5.982372671695799e-16,1.0,1.0,1.0000000000000002,0.0,4.617447690739304,1.0453856900010947,exact
gldm_GrayLevelNonUniformity,gldm,original_gldm_GrayLevelNonUniformity,410,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999991,5.6145927183569555e-14,93.85778721460193,45.787070294550944,exact
gldm_GrayLevelVariance,gldm,original_gldm_GrayLevelVariance,410,1.0,1.0,1.0,6.837349115069562e-17,0.0,6.661338147750939e-16,0.0,7.594188263116455e-16,1.0,1.0,1.0000000000000002,0.0,0.5343444811973749,0.2821264272860228,exact
gldm_HighGrayLevelEmphasis,gldm,original_gldm_HighGrayLevelEmphasis,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-7.018240897946199e-16,6.002133572255406,2.4741456677807987,exact
