feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,mean_difference,sd_difference,loa_lower,loa_upper,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
gldm_LargeDependenceLowGrayLevelEmphasis,gldm,original_gldm_LargeDependenceLowGrayLevelEmphasis,410,1.0,1.0,1.0,8.621829537576825e-16,0.0,7.105427357601002e-15,3.6826910085127146e-17,1.7729850336793383e-15,-3.4382237559263757e-15,3.51187757609663e-15,0.0,5.716023846149382e-16,1.0,1.0,1.0,-1.4036481795892391e-15,14.953014060152272,9.395636715762976,exact
gldm_LowGrayLevelEmphasis,gldm,original_gldm_LowGrayLevelEmphasis,410,1.0,0.9999999999999998,1.0,2.3727632325068132e-17,0.0,2.220446049250313e-16,1.3200822548896679e-18,5.2112810158043035e-17,-1.0082102565487468e-16,1.0346119016465401e-16,0.0,1.0551809817141627e-15,1.0,1.0,0.9999999999999999,-4.386400561216372e-17,0.32489067099062446,0.16142406903155415,exact
gldm_SmallDependenceEmphasis,gldm,original_gldm_SmallDependenceEmphasis,410,1.0,0.9999999999999998,1.0,6.575025077238922e-18,0.0,1.1102230246251565e-16,-1.734723475976807e-18,2.561748096642964e-17,-5.1944986170178895e-17,4.847553921822528e-17,0.0,3.2416281730824646e-15,1.0,1.0,0.9999999999999994,0.0,0.06637830285696061,0.031437321998709515,exact
gldm_SmallDependenceHighGrayLevelEmphasis,gldm,original_gldm_SmallDependenceHighGrayLevelEmphasis,410,1.0,1.0,1.0,4.914767779743071e-17,0.0,4.440892098500626e-16,6.431169959718895e-18,1.0527033700969019e-16,-1.998986905792739e-16,2.1276103049871167e-16,0.0,8.133092639456309e-16,1.0,1.0,1.0000000000000002,-1.7545602244865496e-16,0.6355126703975892,0.5129946539058907,exact
gldm_SmallDependenceLowGrayLevelEmphasis,gldm,original_gldm_SmallDependenceLowGrayLevelEmphasis,410,1.0,1.0,1.0,1.7135683116356265e-18,0.0,1.0061396160665481e-16,-7.319686862048478e-19,1.3110071000481571e-17,-2.6427707847148726e-17,2.496377047473903e-17,0.0,1.0206958134623389e-14,1.0,1.0,1.0000000000000002,-1.3707501753801163e-18,0.014427912260446008,0.006427574439775707,exact
glrlm_GrayLevelNonUniformity,glrlm,original_glrlm_GrayLevelNonUniformity,410,0.9999670340768134,0.08163672060199059,0.08181999005170822,78.04078984572703,76.58795142252691,197.35262999785056,78.04078984572703,26.039308149618737,27.003745872474312,129.07783381897974,2.9853671829034965,2.9997659857334296,0.0,0.0,3.998581777224992,-0.38429960359672727,26.154060577898097,8.672769642352355,discrepant
glrlm_GrayLevelNonUniformityNormalized,glrlm,original_glrlm_GrayLevelNonUniformityNormalized,410,0.9997460631432483,0.9996088127129327,0.9996097664559389,0.0014647604754482709,0.0010817888433049538,0.012236095217060317,-0.0012322845120122659,0.0016962376353639797,-0.004556910277325666,0.0020923412533011346,0.003121642341380816,0.025370970909295514,0.004878048780487805,0.4609756097560976,1.0017134863035202,-0.0018485622345479323,0.3596630572824198,0.07481786766226901,discrepant
glrlm_GrayLevelVariance,glrlm,original_glrlm_GrayLevelVariance,410,0.9998463071599819,0.9998142017441165,0.999814654826602,0.0034107876866337496,0.0020729738523427854,0.035845759267391086,0.0017449954857423357,0.005050156251948712,-0.008153310768077139,0.011643301739561811,0.0036009201554682104,0.03514906336716656,0.0024390243902439024,0.3048780487804878,1.0048076518027043,-0.0014464143298618735,0.6638188343441789,0.2761880161430055,discrepant
glrlm_HighGrayLevelRunEmphasis,glrlm,original_glrlm_HighGrayLevelRunEmphasis,410,0.9998947742695168,0.9998573652198884,0.9998577130600956,0.028568460590442216,0.018025596446612946,0.2516932252616364,-0.02159639338723228,0.03803822804785697,-0.09615132036103194,0.05295853358656738,0.0028916524371371093,0.027822590068884108,0.0,0.18048780487804877,0.9976264578786823,-0.004872296914999481,7.046050003507257,2.590294973245887,discrepant
glrlm_LongRunEmphasis,glrlm,original_glrlm_LongRunEmphasis,410,0.9950077658710659,0.9843282954520219,0.984365921529801,1.1790519842145828,0.9262766811682761,7.254905505907683,-1.1790519842145828,0.994351775030718,-3.12798146327479,0.7698774948456246,0.059628919356462626,0.4594694409612186,0.0,0.0,0.9405805783833445,-0.2008666441471619,16.462384073311718,8.907721521287856,discrepant
