feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,mean_difference,sd_difference,loa_lower,loa_upper,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
glrlm_LongRunEmphasis,glrlm,original_glrlm_LongRunEmphasis,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999992,2.4455852310297704e-15,21.558613486787813,15.593472963433282,exact
glrlm_LongRunHighGrayLevelEmphasis,glrlm,original_glrlm_LongRunHighGrayLevelEmphasis,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999989,-9.782340924119094e-15,107.25845126151117,72.68909098557167,exact
glrlm_LongRunLowGrayLevelEmphasis,glrlm,original_glrlm_LongRunLowGrayLevelEmphasis,8644,0.9999999999999998,1.0,1.0,7.313420782644729e-16,0.0,3.552713678800501e-14,-3.8133412310412885e-17,1.8094115515821186e-15,-3.5845800534113654e-15,3.5083132287905396e-15,0.0,9.430249905625197e-16,1.0,1.0,1.0000000000000002,1.2227926155148846e-15,8.128066040785782,10.22417976857825,exact
glrlm_LowGrayLevelRunEmphasis,glrlm,original_glrlm_LowGrayLevelRunEmphasis,8644,1.0,1.0,1.0,3.335228643215381e-17,0.0,2.7755575615628914e-16,1.3816779485660714e-17,5.951272374274898e-17,-1.0282815905012729e-16,1.3046171802144873e-16,0.0,1.331605067082856e-15,1.0,1.0,0.9999999999999998,0.0,0.27475758552954627,0.11477207187011108,exact
glrlm_RunEntropy,glrlm,original_glrlm_RunEntropy,8644,1.0,0.9999999999999999,1.0,1.2622198006318551e-14,1.2434497875801753e-14,3.2862601528904634e-14,1.2622198006318551e-14,3.59740747061113e-15,5.5712793639207375e-15,1.9673116648716364e-14,2.918670249276082e-15,6.511760793231222e-15,1.0,1.0,1.0000000000000082,-2.1398870771510503e-14,4.258300284299877,0.3514176154271094,exact
glrlm_RunLengthNonUniformity,glrlm,original_glrlm_RunLengthNonUniformity,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.9564681848238176e-14,135.33059035557216,80.75506105528042,exact
glrlm_RunLengthNonUniformityNormalized,glrlm,original_glrlm_RunLengthNonUniformityNormalized,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999993,3.8212269234840205e-17,0.22550435578841818,0.06872999166706796,exact
glrlm_RunPercentage,glrlm,original_glrlm_RunPercentage,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.000000000000001,-5.731840385226028e-17,0.32542266562515365,0.07709838535570777,exact
glrlm_RunVariance,glrlm,original_glrlm_RunVariance,8644,1.0,1.0000000000000002,1.0,1.7115981109162148e-15,8.881784197001252e-16,4.263256414560601e-14,2.5495056731616563e-17,3.1286335980983544e-15,-6.106626795541158e-15,6.15761690900439e-15,1.5156887977609674e-16,1.050738264120564e-15,1.0,1.0,1.0000000000000002,1.2227926155148858e-15,9.988312197177772,8.176693358415859,exact
glrlm_ShortRunEmphasis,glrlm,original_glrlm_ShortRunEmphasis,8644,1.0,0.9999999999999998,1.0,5.921660406101671e-17,0.0,4.440892098500626e-16,-1.2651199436091847e-17,9.07044347987742e-17,-1.9043189164168928e-16,1.6512949276950558e-16,0.0,8.96874974853733e-16,1.0,1.0,1.0000000000000004,-7.642453846968032e-17,0.45023332489654944,0.09604989174496269,exact
glrlm_ShortRunHighGrayLevelEmphasis,glrlm,original_glrlm_ShortRunHighGrayLevelEmphasis,8644,1.0,1.0,1.0,4.0402921894532105e-16,0.0,5.329070518200751e-15,-2.3208850133013165e-17,7.137947720642363e-16,-1.4222466033789165e-15,1.37582890311289e-15,0.0,8.604731139460079e-16,1.0,1.0,0.9999999999999993,9.170944616361644e-16,4.227019429508737,1.9550361120393405,exact
glrlm_ShortRunLowGrayLevelEmphasis,glrlm,original_glrlm_ShortRunLowGrayLevelEmphasis,8644,1.0,0.9999999999999999,1.0,1.644495378475746e-17,0.0,1.942890293094024e-16,-2.4306999931780527e-18,4.067795305376407e-17,-8.215948797855562e-17,7.729808799219952e-17,0.0,2.794233896804065e-15,1.0,1.0,0.9999999999999989,0.0,0.09869571283061584,0.038396704126198535,exact
glszm_GrayLevelNonUniformity,glszm,original_glszm_GrayLevelNonUniformity,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999991,-6.113963077574441e-16,5.183529470129076,2.419881880349933,exact
glszm_GrayLevelNonUniformityNormalized,glszm,original_glszm_GrayLevelNonUniformityNormalized,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000016,5.731840385225987e-17,0.31413633210107506,0.09161811981098329,exact
